[2025-05-23 01:14:11] [INFO] No IPs currently blocked
[2025-05-23 01:14:19] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:19] [INFO] 
=== NETWORK SCAN ===
[2025-05-23 01:14:19] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-23 01:14:19] [INFO] IP Address: 192.168.1.9
[2025-05-23 01:14:19] [Level 21] ✅ Selected scans completed!
[2025-05-23 01:14:22] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:22] [INFO] 
=== PROCESS SCAN ===
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 4260, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 4360, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 4400, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 4464, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'wlanext.exe', 'pid': 4556, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 4564, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 4652, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'Intel_PIE_Service.exe', 'pid': 4684, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'embeddings-server.exe', 'pid': 4792, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'spoolsv.exe', 'pid': 4820, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 4896, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 4928, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5100, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5112, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'armsvc.exe', 'pid': 5184, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5192, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5204, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5216, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'Creative.VADMonitorService.exe', 'pid': 5248, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'avp.exe', 'pid': 5264, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'GCUBridge.exe', 'pid': 5272, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'IntelAudioService.exe', 'pid': 5288, 'username': None}
